dataset,scope,category,activity_type,country_code,year,factor,unit,method,regulation,source,sector_code,sector_name
EXIOBASE_2020,SCOPE_3,spend_based,Stone,AT,2020,0.48749585,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,stone,Stone
EXIOBASE_2020,SCOPE_3,spend_based,Sand and clay,AT,2020,0.4196649,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,sand_and_clay,Sand and clay
EXIOBASE_2020,SCOPE_3,spend_based,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",AT,2020,2.65022573,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,chemical_and_fertilizer,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c."
EXIOBASE_2020,SCOPE_3,spend_based,Products of meat cattle,AT,2020,0.81231752,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,products_of_meat,Products of meat cattle
EXIOBASE_2020,SCOPE_3,spend_based,Products of meat pigs,AT,2020,0.48447643,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,products_of_meat,Products of meat pigs
EXIOBASE_2020,SCOPE_3,spend_based,Products of meat poultry,AT,2020,0.2735645,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,products_of_meat,Products of meat poultry
EXIOBASE_2020,SCOPE_3,spend_based,Meat products nec,AT,2020,2.74881343,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,meat_products_nec,Meat products nec
EXIOBASE_2020,SCOPE_3,spend_based,products of Vegetable oils and fats,AT,2020,0.66231795,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,products_of_vegetable,products of Vegetable oils and fats
EXIOBASE_2020,SCOPE_3,spend_based,Dairy products,AT,2020,0.81314973,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,dairy_products,Dairy products
EXIOBASE_2020,SCOPE_3,spend_based,Processed rice,AT,2020,0.13496941,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,processed_rice,Processed rice
EXIOBASE_2020,SCOPE_3,spend_based,Sugar,AT,2020,0.45161741,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,sugar,Sugar
EXIOBASE_2020,SCOPE_3,spend_based,Food products nec,AT,2020,0.4494434,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,food_products_nec,Food products nec
EXIOBASE_2020,SCOPE_3,spend_based,Beverages,AT,2020,0.37595269,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,beverages,Beverages
EXIOBASE_2020,SCOPE_3,spend_based,Fish products,AT,2020,0.4118588,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,fish_products,Fish products
EXIOBASE_2020,SCOPE_3,spend_based,Tobacco products (16),AT,2020,0.24538075,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,tobacco_products_16,Tobacco products (16)
EXIOBASE_2020,SCOPE_3,spend_based,Textiles (17),AT,2020,0.19177006,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,textiles_17,Textiles (17)
EXIOBASE_2020,SCOPE_3,spend_based,Wearing apparel; furs (18),AT,2020,0.17766988,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,wearing_apparel;_furs,Wearing apparel; furs (18)
EXIOBASE_2020,SCOPE_3,spend_based,Leather and leather products (19),AT,2020,0.20947476,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,leather_and_leather,Leather and leather products (19)
EXIOBASE_2020,SCOPE_3,spend_based,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),AT,2020,0.33573026,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,wood_and_products,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)
EXIOBASE_2020,SCOPE_3,spend_based,Pulp,AT,2020,0.32370668,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,pulp,Pulp
EXIOBASE_2020,SCOPE_3,spend_based,Paper and paper products,AT,2020,0.55895272,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,paper_and_paper,Paper and paper products
EXIOBASE_2020,SCOPE_3,spend_based,Printed matter and recorded media (22),AT,2020,0.15310463,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,printed_matter_and,Printed matter and recorded media (22)
EXIOBASE_2020,SCOPE_3,spend_based,Coke Oven Coke,AT,2020,8.25551001,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,coke_oven_coke,Coke Oven Coke
EXIOBASE_2020,SCOPE_3,spend_based,Coal Tar,AT,2020,3.06870328,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,coal_tar,Coal Tar
EXIOBASE_2020,SCOPE_3,spend_based,Motor Gasoline,AT,2020,1.11156144,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,motor_gasoline,Motor Gasoline
EXIOBASE_2020,SCOPE_3,spend_based,Aviation Gasoline,AT,2020,0.71786069,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,aviation_gasoline,Aviation Gasoline
EXIOBASE_2020,SCOPE_3,spend_based,Kerosene Type Jet Fuel,AT,2020,1.23766434,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,kerosene_type_jet,Kerosene Type Jet Fuel
EXIOBASE_2020,SCOPE_3,spend_based,Kerosene,AT,2020,1.23804694,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,kerosene,Kerosene
EXIOBASE_2020,SCOPE_3,spend_based,Gas/Diesel Oil,AT,2020,1.23912243,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,gas/diesel_oil,Gas/Diesel Oil
EXIOBASE_2020,SCOPE_3,spend_based,Heavy Fuel Oil,AT,2020,2.59422819,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,heavy_fuel_oil,Heavy Fuel Oil
EXIOBASE_2020,SCOPE_3,spend_based,Refinery Gas,AT,2020,1.23795283,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,refinery_gas,Refinery Gas
EXIOBASE_2020,SCOPE_3,spend_based,Liquefied Petroleum Gases (LPG),AT,2020,1.51540488,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,liquefied_petroleum_gases,Liquefied Petroleum Gases (LPG)
EXIOBASE_2020,SCOPE_3,spend_based,Refinery Feedstocks,AT,2020,1.23767288,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,refinery_feedstocks,Refinery Feedstocks
EXIOBASE_2020,SCOPE_3,spend_based,Ethane,AT,2020,0.26325915,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,ethane,Ethane
EXIOBASE_2020,SCOPE_3,spend_based,Naphtha,AT,2020,1.23744899,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,naphtha,Naphtha
EXIOBASE_2020,SCOPE_3,spend_based,White Spirit & SBP,AT,2020,0.26325915,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,white_spirit_&,White Spirit & SBP
EXIOBASE_2020,SCOPE_3,spend_based,Lubricants,AT,2020,0.51573,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,lubricants,Lubricants
EXIOBASE_2020,SCOPE_3,spend_based,Bitumen,AT,2020,1.23788372,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,bitumen,Bitumen
EXIOBASE_2020,SCOPE_3,spend_based,Paraffin Waxes,AT,2020,0.26325915,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,paraffin_waxes,Paraffin Waxes
EXIOBASE_2020,SCOPE_3,spend_based,Petroleum Coke,AT,2020,1.23804673,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,petroleum_coke,Petroleum Coke
EXIOBASE_2020,SCOPE_3,spend_based,Non-specified Petroleum Products,AT,2020,1.23740249,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,non-specified_petroleum_produc,Non-specified Petroleum Products
EXIOBASE_2020,SCOPE_3,spend_based,Nuclear fuel,AT,2020,0.40854089,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,nuclear_fuel,Nuclear fuel
EXIOBASE_2020,SCOPE_3,spend_based,"Plastics, basic",AT,2020,0.44790307,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,plastics_basic,"Plastics, basic"
EXIOBASE_2020,SCOPE_3,spend_based,N-fertiliser,AT,2020,0.59233684,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,n-fertiliser,N-fertiliser
EXIOBASE_2020,SCOPE_3,spend_based,P- and other fertiliser,AT,2020,1.26610068,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,p-_and_other,P- and other fertiliser
EXIOBASE_2020,SCOPE_3,spend_based,Chemicals nec,AT,2020,0.47351194,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,chemicals_nec,Chemicals nec
EXIOBASE_2020,SCOPE_3,spend_based,Charcoal,AT,2020,0.78888348,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,charcoal,Charcoal
EXIOBASE_2020,SCOPE_3,spend_based,Additives/Blending Components,AT,2020,0.62487061,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,additives/blending_components,Additives/Blending Components
EXIOBASE_2020,SCOPE_3,spend_based,Biogasoline,AT,2020,0.46340716,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,biogasoline,Biogasoline
EXIOBASE_2020,SCOPE_3,spend_based,Biodiesels,AT,2020,0.50190012,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,biodiesels,Biodiesels
EXIOBASE_2020,SCOPE_3,spend_based,Other Liquid Biofuels,AT,2020,0.54484336,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,other_liquid_biofuels,Other Liquid Biofuels
EXIOBASE_2020,SCOPE_3,spend_based,Rubber and plastic products (25),AT,2020,0.21657122,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,rubber_and_plastic,Rubber and plastic products (25)
EXIOBASE_2020,SCOPE_3,spend_based,Glass and glass products,AT,2020,0.64352483,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,glass_and_glass,Glass and glass products
EXIOBASE_2020,SCOPE_3,spend_based,Ceramic goods,AT,2020,0.8976424,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,ceramic_goods,Ceramic goods
EXIOBASE_2020,SCOPE_3,spend_based,"Bricks, tiles and construction products, in baked clay",AT,2020,1.01506599,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,bricks_tiles_and,"Bricks, tiles and construction products, in baked clay"
EXIOBASE_2020,SCOPE_3,spend_based,"Cement, lime and plaster",AT,2020,0.81284104,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,cement_lime_and,"Cement, lime and plaster"
EXIOBASE_2020,SCOPE_3,spend_based,Other non-metallic mineral products,AT,2020,0.62836005,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,other_non-metallic_mineral,Other non-metallic mineral products
EXIOBASE_2020,SCOPE_3,spend_based,Basic iron and steel and of ferro-alloys and first products thereof,AT,2020,0.68509266,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,basic_iron_and,Basic iron and steel and of ferro-alloys and first products thereof
EXIOBASE_2020,SCOPE_3,spend_based,Precious metals,AT,2020,0.37408754,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,precious_metals,Precious metals
EXIOBASE_2020,SCOPE_3,spend_based,Aluminium and aluminium products,AT,2020,0.468156,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,aluminium_and_aluminium,Aluminium and aluminium products
EXIOBASE_2020,SCOPE_3,spend_based,"Lead, zinc and tin and products thereof",AT,2020,0.71251639,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,lead_zinc_and,"Lead, zinc and tin and products thereof"
EXIOBASE_2020,SCOPE_3,spend_based,Copper products,AT,2020,0.42157432,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,copper_products,Copper products
EXIOBASE_2020,SCOPE_3,spend_based,Other non-ferrous metal products,AT,2020,0.53094327,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,other_non-ferrous_metal,Other non-ferrous metal products
EXIOBASE_2020,SCOPE_3,spend_based,Foundry work services,AT,2020,0.63931086,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,foundry_work_services,Foundry work services
EXIOBASE_2020,SCOPE_3,spend_based,"Fabricated metal products, except machinery and equipment (28)",AT,2020,0.17604824,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,fabricated_metal_products,"Fabricated metal products, except machinery and equipment (28)"
EXIOBASE_2020,SCOPE_3,spend_based,Machinery and equipment n.e.c. (29),AT,2020,0.1744117,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,machinery_and_equipment,Machinery and equipment n.e.c. (29)
EXIOBASE_2020,SCOPE_3,spend_based,Office machinery and computers (30),AT,2020,0.33622037,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,office_machinery_and,Office machinery and computers (30)
EXIOBASE_2020,SCOPE_3,spend_based,Electrical machinery and apparatus n.e.c. (31),AT,2020,0.17311741,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,electrical_machinery_and,Electrical machinery and apparatus n.e.c. (31)
EXIOBASE_2020,SCOPE_3,spend_based,"Radio, television and communication equipment and apparatus (32)",AT,2020,0.13255216,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,radio_television_and,"Radio, television and communication equipment and apparatus (32)"
EXIOBASE_2020,SCOPE_3,spend_based,"Medical, precision and optical instruments, watches and clocks (33)",AT,2020,0.13727747,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,medical_precision_and,"Medical, precision and optical instruments, watches and clocks (33)"
EXIOBASE_2020,SCOPE_3,spend_based,"Motor vehicles, trailers and semi-trailers (34)",AT,2020,0.2923724,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,motor_vehicles_trailers,"Motor vehicles, trailers and semi-trailers (34)"
EXIOBASE_2020,SCOPE_3,spend_based,Other transport equipment (35),AT,2020,0.19120419,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,other_transport_equipment,Other transport equipment (35)
EXIOBASE_2020,SCOPE_3,spend_based,Furniture; other manufactured goods n.e.c. (36),AT,2020,0.27773224,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,furniture;_other_manufactured,Furniture; other manufactured goods n.e.c. (36)
EXIOBASE_2020,SCOPE_3,spend_based,Secondary raw materials,AT,2020,0.57818753,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,secondary_raw_materials,Secondary raw materials
EXIOBASE_2020,SCOPE_3,spend_based,Electricity by coal,AT,2020,4.90705945,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,electricity_by_coal,Electricity by coal
EXIOBASE_2020,SCOPE_3,spend_based,Electricity by gas,AT,2020,5.32468995,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,electricity_by_gas,Electricity by gas
EXIOBASE_2020,SCOPE_3,spend_based,Electricity by nuclear,AT,2020,0.08714416,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,electricity_by_nuclear,Electricity by nuclear
EXIOBASE_2020,SCOPE_3,spend_based,Electricity by hydro,AT,2020,0.21776094,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,electricity_by_hydro,Electricity by hydro
EXIOBASE_2020,SCOPE_3,spend_based,Electricity by wind,AT,2020,0.33157337,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,electricity_by_wind,Electricity by wind
EXIOBASE_2020,SCOPE_3,spend_based,Electricity by petroleum and other oil derivatives,AT,2020,1.74714866,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,electricity_by_petroleum,Electricity by petroleum and other oil derivatives
EXIOBASE_2020,SCOPE_3,spend_based,Electricity by biomass and waste,AT,2020,1.84278777,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,electricity_by_biomass,Electricity by biomass and waste
EXIOBASE_2020,SCOPE_3,spend_based,Electricity by solar photovoltaic,AT,2020,0.35125688,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,electricity_by_solar,Electricity by solar photovoltaic
EXIOBASE_2020,SCOPE_3,spend_based,Electricity by Geothermal,AT,2020,0.0871304,kgCO2e_per_EUR,spend_based,EXIOBASE,EXIOBASE 3.9.4 IOT_2020_pxp,electricity_by_geothermal,Electricity by Geothermal
